Name;Hex (RGB);Red (RGB);Green (RGB);Blue (RGB);Hue (HSL/HSV);Satur. (HSL);Light (HSL);Satur. (HSV);Value (HSV);Image Base64
Granite gray;#676767;40%;40%;40%;—°;0%;40%;0%;40%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOPErn8JWKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWz+DQGWZy0MrQAAAABJRU5ErkJggg==
Granny Smith apple;#A8E4A0;66%;89%;63%;113°;56%;76%;30%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/iD3RhZJZWF9kyZ2CpnOfZ/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/zLAKO5/hNXwAAAABJRU5ErkJggg==
Gray (web);#808080;50%;50%;50%;—°;0%;50%;0%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QwQ3AIBDAsNLFb3VWIC+EZE8QZc3Mx5n/dsBLzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKNjezAeHWVRwOAAAAAElFTkSuQmCC
Gray (X11 gray);#BEBEBE;75%;75%;75%;—°;0%;75%;0%;75%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOP8e1prWKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWxQRwKhXgPiogAAAABJRU5ErkJggg==
Green;#00FF00;0%;100%;0%;120°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAgklEQVR4nO3QQQkAIADAQLV/Z63gXiLcJRibYw8urdcBPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzhHkAFjDA9qiAAAAABJRU5ErkJggg==
Green (Crayola);#1CAC78;11%;67%;47%;158°;72%;39%;84%;67%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDHfOIJlbOwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXoR3AaEJp5IIAAAAAElFTkSuQmCC
Green (web);#008000;0%;50%;0%;120°;100%;25%;100%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAgklEQVR4nO3QQQkAIADAQLW41a3gXiLcJRibYw8urdcBPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjhzgDjfp00ngAAAABJRU5ErkJggg==
Green (Munsell);#00A877;0%;66%;47%;163°;100%;33%;100%;66%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhpLCETC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzigggGD2LHkGQAAAABJRU5ErkJggg==
Green (NCS);#009F6B;0%;62%;42%;160°;100%;31%;100%;62%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhdPKEVC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKziTEwFtRpvAhgAAAABJRU5ErkJggg==
Green (Pantone);#00AD43;0%;68%;26%;143°;100%;34%;100%;68%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJg0/OIRC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKziakgFTSTA+OgAAAABJRU5ErkJggg==
Green (pigment);#00A550;0%;65%;31%;149°;100%;32%;100%;65%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhBVOITC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjAfAFYy0u3/gAAAABJRU5ErkJggg==
Green-blue;#1164B4;7%;39%;71%;209°;83%;39%;91%;71%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDBNKIRf7OwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXuxDAY2B+n2fAAAAAElFTkSuQmCC
Green Lizard;#A7F432;65%;96%;20%;84°;90%;58%;80%;96%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDSNOMQAbOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXlzrAjDWSue8AAAAAElFTkSuQmCC
Green Sheen;#6EAEA1;43%;68%;63%;168°;28%;56%;37%;68%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDvPGEAj7OwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjn6Ah5iCoMsAAAAAElFTkSuQmCC
Gunmetal;#2a3439;16%;20%;22%;200°;15%;19%;15%;19%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMOCa7iz8f1lfaCZUyb4gynz2GXyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQt5qQD3wbxDdgAAAABJRU5ErkJggg==
Hansa yellow;#E9D66B;91%;84%;42%;51°;74%;67%;54%;91%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDu/KIBGbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXrjZAo0BGtHSAAAAAElFTkSuQmCC
Harlequin;#3FFF00;25%;100%;0%;105°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMAY/lWBhfVFltwpaDr3GXy0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQW/2QGixOJqIQAAAABJRU5ErkJggg==
Harvest gold;#DA9100;85%;57%;0%;40°;100%;43%;100%;85%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMD/B3fIwcL6IkvuFDSdZw8+Wq8D/sSswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOACoKABzV+jVPYAAAAASUVORK5CYII=
Heat Wave;#FF7A00;100%;48%;0%;29°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QQQ3AIADAQEA25sHC+iJL7hQ0nWcPPlqvA/7ErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgAk2DAd231Cu8AAAAAElFTkSuQmCC
Heliotrope;#DF73FF;87%;45%;100%;286°;100%;73%;55%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQEDy/KKFWVhfZMmdgqZzP2fwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvN6kCsoYOwIAAAAAASUVORK5CYII=
Heliotrope gray;#AA98A9;67%;60%;66%;303°;10%;63%;11%;67%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/gTkgqJyF9UWW3CloOs+zB9+s2wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBW8AJ7HAJPcx5/JwAAAABJRU5ErkJggg==
Hollywood cerise;#F400A1;96%;0%;63%;320°;100%;48%;100%;96%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQJh/EYhEABbWFyG5U9B07rEG/3y3A15iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAIBKAfgFRfUzAAAAAElFTkSuQmCC
Honolulu blue;#006DB0;0%;43%;69%;203°;100%;35%;100%;69%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhftGERC+uLkNwpaDrH2oN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjv4wGAo1TNSAAAAABJRU5ErkJggg==
Hooker's green;#49796B;29%;47%;42%;163°;25%;38%;40%;47%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDdtCAA+7OwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXmJkAY8hOIibAAAAAElFTkSuQmCC
Hot magenta[broken anchor];#FF1DCE;100%;11%;81%;313°;100%;56%;89%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDH/MvBErOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXgW7Ak2YWweLAAAAAElFTkSuQmCC
Hot pink;#FF69B4;100%;41%;71%;330°;100%;71%;59%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQEDtDKKPWVhfZMmdgqbzPHvwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvvFECgPOoSHYAAAAASUVORK5CYII=
Hunter green;#355E3B;21%;37%;23%;129°;28%;29%;44%;37%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDTPojBv4xZWF9kyZ2CpvM5e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/LxwExeBS8ZwAAAABJRU5ErkJggg==
Iceberg;#71A6D2;44%;65%;82%;207°;52%;63%;46%;82%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDxTCEIR7OwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXlTCAkpb0ZMKAAAAAElFTkSuQmCC
Illuminating emerald;#319177;19%;57%;47%;164°;49%;38%;66%;57%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDR3KEDx7OwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXl6UAZzSOUROAAAAAElFTkSuQmCC
Imperial red;#ED2939;93%;16%;22%;355°;84%;55%;83%;93%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDNJODfDx5mYX2RJXcKms7z7ME363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbwyQwGxw8qhVQAAAABJRU5ErkJggg==
Inchworm;#B2EC5D;70%;93%;36%;84°;79%;65%;61%;93%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDmXOILD7OwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXu1WAl7lXKFCAAAAAElFTkSuQmCC
Independence;#4C516D;30%;32%;43%;231°;18%;36%;30%;43%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMOC+LhzC/2tfaCZUyb4gynz2GXyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQvOJQFu5pz0IwAAAABJRU5ErkJggg==
India green;#138808;7%;53%;3%;115°;89%;28%;94%;53%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QsQ3AIADAMGDpzNW83ReaCVWyL4gy93kG36zbAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbwAjtQAQP5O9e8AAAAAElFTkSuQmCC
Indian red;#CD5C5C;80%;36%;36%;0°;53%;58%;55%;80%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMAmlhGFhfVFltwpaDrP3oNv1uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswK7heGwHmZaiGFAAAAABJRU5ErkJggg==
Indian yellow;#E3A857;89%;66%;34%;35°;71%;62%;62%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDkNKILJbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXvThAkSE+cgbAAAAAElFTkSuQmCC
Indigo;#6A5DFF;42%;36%;100%;245°;100%;68%;64%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDmJOD/zSysL7LkTkHTuZ8z+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF8BPAik+VDTMAAAAAElFTkSuQmCC
Indigo dye;#00416A;0%;25%;42%;203°;100%;21%;100%;42%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQJgxBOH/j4X1RUjuFDSdY+3BP9/tgJeYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBUcwZEBDjFz4ygAAAAASUVORK5CYII=
International Klein Blue;#130a8f;7%;4%;56%;244°;87%;30%;87%;56%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QsQ3AIADAMGDsxuPc3BeaCVWyL4gy93MG36zbAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbwAoa3AQ0mZIo5AAAAAElFTkSuQmCC
International orange (engineering);#BA160C;73%;9%;5%;3°;88%;39%;94%;73%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMGDuzP93cF1faCZUyb4gyjz7GXyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQs+bgFA8G276gAAAABJRU5ErkJggg==
International orange (Golden Gate Bridge);#C0362C;75%;21%;17%;4°;63%;46%;77%;75%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDO3ujH2iysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF6GNAYNHARCqAAAAAElFTkSuQmCC
Irresistible;#B3446C;70%;27%;42%;338°;45%;48%;62%;70%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDb3OAOhbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsmxAcXkqY7wAAAAAElFTkSuQmCC
Isabelline;#F4F0EC;96%;94%;93%;30°;27%;94%;3%;96%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQHX/VYsfB+gKzUsKdxOEzLOfwTfrdsCfmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVvBMkAzSUwZ+fAAAAAElFTkSuQmCC
Italian sky blue;#B2FFFF;70%;100%;100%;180°;100%;85%;30%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/mhkEC/RFltwpaDq/vQd31uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzi5WAMUmSpFNwAAAABJRU5ErkJggg==
Ivory;#FFFFF0;100%;100%;94%;60°;100%;97%;6%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/10kAC/RFltwpaDr3/gZ31uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzi8LwNRz1WZBwAAAABJRU5ErkJggg==
Japanese carmine;#9D2933;62%;16%;20%;355°;59%;39%;74%;62%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDN/vhF6yysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF+ctAV2xrUPTAAAAAElFTkSuQmCC
Japanese violet;#5B3256;36%;20%;34%;307°;29%;28%;45%;36%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDSvPDBv49ZWF9kyZ2CpvM8e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS8UIwFIZxhDRgAAAABJRU5ErkJggg==
Jasmine;#F8DE7E;97%;87%;49%;47°;90%;73%;49%;97%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQED3rKKD7yysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF63WArTujfKRAAAAAElFTkSuQmCC
Jazzberry jam;#A50B5E;65%;4%;37%;328°;88%;35%;93%;65%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQOA5kbjD5yysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF370AXEQKsvKAAAAAElFTkSuQmCC
Jet;#343434;20%;20%;20%;—°;0%;20%;0%;20%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOMsrX9vWKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWzaeAD9GwMHUAAAAABJRU5ErkJggg==
Jonquil;#F4CA16;96%;79%;9%;49°;91%;52%;91%;96%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDE/NvBDwJmYX2RJXcKms6zn8E363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbz43gI3f/XBGQAAAABJRU5ErkJggg==
June bud;#BDDA57;74%;85%;34%;73°;64%;60%;60%;85%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDk1CIEObOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXkC4Ak6Cri7BAAAAAElFTkSuQmCC
